Title,Description,Priority,Label
UX - 최초 로딩 시 폰트 깜빡임 (FOUT) 개선,,High,Should Have
UX - 가맹점몰 로그인 처리,,High,Should Have
보안 - 민감 정보 .env.local 분리 및 .gitignore 확인,,High,Should Have
보안 - XSS 방어 (dangerouslySetInnerHTML 사용 금지 규칙),,High,Should Have
보안 - CORS 정책 확인,,High,Should Have
성능 최적화 - Lazy Loading (페이지 단위 코드 스플리팅),,Medium,Could Have
성능 최적화 - Eager Loading (주요 경로 사전 로딩),,Medium,Could Have
성능 최적화 - React 19 Compiler 적용 검토,,Medium,Could Have
성능 최적화 - 번들 사이즈 분석 (vite-bundle-analyzer),,Medium,Could Have
접근성 - 시맨틱 마크업 기준 정의,,Medium,Could Have
접근성 - 키보드 네비게이션 지원,,Medium,Could Have
접근성 - 스크린리더 대응 (aria 속성),,Medium,Could Have
UI 고도화 - 다크모드 / 테마 전환 기능,,Medium,Could Have
UI 고도화 - 글자 크기 조절 기능 (큰글씨 / 작은글씨),,Medium,Could Have
UI 고도화 - 반응형 디자인 (모바일 / 태블릿 대응),,Medium,Could Have
UI 고도화 - 대표 계좌 설정 화면,,Medium,Could Have
개발경험 - 컴포넌트 문서화 (Storybook),,Medium,Could Have
개발경험 - OpenAPI / Swagger 기반 타입 자동 생성 (openapi-typescript),,Medium,Could Have
개발경험 - 프로젝트 컨벤션 README.md 작성,,Medium,Could Have
개발경험 - 기술 스택 문서화 (도입 이유 / 버전 / 확장성),,Medium,Could Have
모니터링 - 에러 추적 (Sentry),,Medium,Could Have
모니터링 - 사용자 분석 (GA),,Medium,Could Have
모니터링 - Web Vitals 측정,,Medium,Could Have
다국어 - i18n 구조 설계 (i18next),,Medium,Could Have
다국어 - 언어 전환 기능,,Medium,Could Have
